Confidence,Header,Units
4,Strain (%),Strain
4,Viscosity (Pa.s),Pa.s
4,Filler Content (wt %),wt %
4,G' (Pa),G' (Pa)
4,e' (red circles),red circles
4,G'' (Pa),G'' (Pa)
4,Temp (C),C
4,energy density (J/cm^3),J/cm^3
4,electric field (MV/m),MV/m
4,Temperature(C),C
4,frequency (Hz),Hz
4,"PVAc-32% e"" (red circles)",red circles
4,frequency (rad/s),rad/s
4,"e"" (red squares)",red squares
4,f (Hz),Hz
4,Breakdown Strength (kV/mm),kV/mm
4,Shear Loss Modulus (Pa),Pa
4,Temperature (Celsius),Celsius
4,Loss modulus (MPa),MPa
4,Strain (mm),Strain
4,Collapse Strength (MPa),MPa
4,AC Dielectric Strength [kV/mm],kV/mm
4,Electric Field (V/cm),V/cm
4,temperature (C) ,C
4,Flexural stress (MPa),MPa
3,J (A/mm^2),mm^2
3,Temperature ( C ),C
3,Tempeature (deg C),C
3,Critical strain (%),strain
3,glass transition temperature ( C ),C
3,viscosity ((Pa)(s)),Pa
3,Shear Storage Modulus ( Pa s),Pa s
3,Tensile Strain (%),Strain
3,Log E (kV / cm),cm
3,Intensity (cm^(-1)),cm
3,Field Intensity at Electrode (kV/mm Peak),kV/mm
3,Temperature (deg. Celcius),Celcius
3,log (Shifted Frequency (Hz)),Hz
3,Time (sec),s
3,Temperature (C ),C
3,conductivity (S cm^-1),cm
3,Linear Intensity (a.u. shifted),a.u.
3,Dynamic Viscosity ( Pa s),Pa s
3,Current Density (A cm^(-2)),cm
3,E' ( Mpa),Mpa
3,ln (Conductivity) (S/m),S/m
3,electrical volume resistivity (ohm cm),vol
3,Temperature (Cel.),C
3,Temperature ( C),C
3,Loss Modulus ( Mpa),Mpa
3,temperature ( C ),C
3,Square Root Current (V/m^1/2),V/m
3,e' (neat PVAc) grey circles),neat PVAc) grey circles
3,storage modulus ( Pa ),Pa
3,Log (frequency (Hz)),Hz
3,Frequency (log Hz),Hz
3,Ac conductivity (S(cm)),S(cm)
3,Relaxation Spectra H(t) (Pa),Pa
3,Cp (J/(g*K) (Polymer matrix),J/(g*K) (Polymer matrix
3,Shear rate (s^(-1)),s
3,Natural Log of Conductivity (ln (S/m)),S/m
3,Cumulative Percentage (%),Percent
3,CNT (vol. %),vol
3,time (sec),s
3,storage modulus (*10^-9 Pa),Pa
3,strain rate (min^-1),strain
3,AC Breakdown Strenght (MV/mm),MV/m
3,ion mobility (cm^2/Vs),cm
3,Average Number of Particles per Cell (Qmean),um
3,Storage Modulus (E')(Mpa),Mpa
3,Delta(Tg (Cel.)),C
3,Log(E') (Pa),Pa
3,Temperature (deg C),C
3,MWCNT content ( wt %),wt %
3,viscosity ( cP ),cP
3,Temperature (Deg. Celcius),Celcius
3,Flexural strain (%),strain
2,ln q1 (*C/min),C/min
2,surface coverage (n/nm),nm
2,Normalized Storage Modulus (E'/E'max),s
2,log(fc-f),g
2,Log (-Ln(1-P)),g
2,Temperature (*C),C
2,Weight loss (%),s
2,"Temperature, C",C
2,Relative Permittivity (imaginary),g
2,"Concentration normalized Intensity, I ",C
2,DC conductivity rate (sec^-1),C
2,Frequency (rad / sec),q
2,Engineering strain,strain
2,log sig,s
2,Change in Glass Transition Temperature (deg C),C
2,Imaginary Part of the Complex Permittivity,Pa
2,Applied Flux Density (T),s
2,Real Part of the Complex Permittivity,Pa
2,Cp (Cal/g*C),C
2,Time to Failure (Minutes),s
2,Particle Free Space Length (nm),Pa
2,weight fraction of alumina ( log % ),min
2,Dielectric Constant at 1 kHz,kHz
2,AC Electrical Impedance (Z),C
2,weight loss (%),s
2,applied stress intensity range,s
2,storage modulus (dy n/cm^2),cm
2,Concentration of BaTiO3 (%vol),vol
2,normalized tan delta,tan delta
2,Strain (kPa),Strain
2,Dielectric Constant,C
2,Relative Dieletric Constant,C
2,Angle (2theta),g
2,log(-ln(1-P)),g
2,"Normalized Loss Modulus (E""/E""max)",s
2,Relative Density (density of foam/density of solid),s
2,Log(loss factor e''),s
2,Influence of interfacial energetics and processing conditions (sinh^2(2Wpf/Wff-1)log(Eg+1),s
2,Angle 2q (deg),q
2,DC conduction rate (sec^-1),C
2,heat flow (w/g),g
2,strain (%),strain
2,Log(loss factor),s
2,shear modulus G increase (%),s
2,sigma(yc)/sigma(yp),s
2,Damping Coefficient,Da
2,Hencky strain,strain
2,strain to failure(%),strain
2,Current density (A/cm2),cm
2,alpha (degree),g
2,current (amps),s
2,relative standard deviation of filler aspect ratio,s
2,H-Bond Density (bonds/nm2),nm
2,Surface area of filler phase (Ifiller),s
2,Conductivity (S m^-1),C
2,"Normalized Loss Modulus (E""/Emax)",s
2,Reduced Modulus (Gpa),s
2,Charge Density (C/m^3),C
2,Resistivity (ohms - m),s
2,Influence of interfacial energetics and processing conditions f(matrix)(sinh^2(2Wpf/Wff-1)log(Eg+1)+Co,C
2,electric field strength relative to applied field,s
2,loss modulus (dy n/cm^2),cm
2,log of specific shear energy,s
2,steady-state Gic(J/m2),s
2,Real Part of Dielectric Permittivity,Pa
2,the product of static dielectric constant and frequency (sec^-1),q
2,Weibull Parameter,Pa
2,Current (A),C
2,Log(-ln(1-P)),g
2,Imaginary Part of Dielectric Permittivity,Pa
2,"Scattering vector, q ",q
2,work of adhesion between filler and polymer to the work of adhesion of filler to filler (WPF/WFF),s
2,deltaHa (cal/g.s),s
2,Graft Density (chain/nm^2),nm
2,Relative density (density of foam/ density of solid),s
2,True Strain,Strain
2,"Storage Modulus, E' (Gpa)",s
2,q(A^(-1)),q
2,frequency (rad per sec),q
2,Aspect ratio (L/d),s
2,"Dielectric Constant, Dk",C
2,Silica Loading (mass %),s
2,q(A^-1),q
2,Dielectric constant (Dk),s
2,T (*C),C
2,Damping Factor [1],Da
2,E(v/mm),mm
2,DC conductivity (S/cm),DC conductivity (S/cm)
2,Mass (%),s
2,dispersive surface energy (mJ/m^2),J/m^2
2,"Stress, MPa",MPa
2,Relative Dielectric Constant,C
2,interlaminar fracture toughness (J/m2),min
2,Wavenumber (cm-1),um
1,Relative Imaginary permittivity,g
1,Effective dielectric loss,s
1,AC dielectric Constant,C
1,Differential of Imaginary Magnetic Susceptibility,s
1,imaginary part of dielectric constant,s
1,storage modulus,s
1,Volume fraction of MWNTs,um
1,Sample Mass,s
1,log Real Permittivity,g
1,Percent,Percent
1,real part dielectric constant,s
1,AC Dielectric Constant,C
1,Absorbance,s
1,2277.14144,1
1,dielectric constant,s
1,287.8112756,1
1,Effective dielectric constant,s
1,loss tangent,s
1,Tan(delta),
1,Fig_5_b_Unfilled_1Hz,Hz
1,intensity ratio,s
1,tangent delta,g
1,electric modulus,s
1,Tangent Delta,g
1,Log E,g
1,Fig_8_b_0C,C
1,temperature/C,C
1,Loss Tangent,s
1,150.8384835,1
1,Dielectric constant epsilon',s
1,I,I
1,Tan (Delta),
1,adhesion energy,s
1,Permittivity [real part],
1,Fig_8_a_0.0_real,g
1,Imaginary Electric modulus,s
1,Number of MWNT along the fracture for EPNT/PC,um
1,Loss tangent,s
1,imaginary permittivity,g
1,stress,s
1,Volume % Silica,um
1,imaginary of dielectric function,g
1,Fig_5_a_0.10_1Hz,Hz
1,Tg,g
1,Log-storage modulus,s
1,Dielectric Loss,s
1,tan delta,tan delta
1,Fig_5_a_Unfilled_1Hz,Hz
1,Bending Tan delta,g
1,0.011097134,1
1,Loss factor,s
1,Fig_5_a_0.075_1Hz,Hz
1,conductivity (S/c),
1,Imaginary dielectric function,g
1,probability distribution function,s
1,Fig_5_b_0.10_1Hz,Hz
1,Normalized Elastic Modulus E/Eneat,s
1,tan(delta),
1,Imaginary permittivity,g
1,1000/T,1
1,"dielectric loss, tangent",s
1,Imaginary Relative Permittivity,g
1,Time (h),
1,Loss Modulus,s
1,2.612163856,1
1,Imaginary Dielectric constant,s
1,"Normalized Elastic Modulus, E/Eneat",s
1,Number of MWNT along the fracture edge dissolved in THF,um
1,peak next to the anode (arbitrary unit),
1,Dielectric Loss Tangent,s
1,0.105896797,1
1,loss modulus,s
1,Loss modulus,s
1,Strain,Strain
1,Log f,g
1,strain,strain
1,Frequency,q
1,static dielectric constant,s
1,Log Tan delta,g
1,Imaginary part of dielectric constant,s
1,Diamine Fraction,min
1,AC conductivity,C
1,Storage Modulus,s
1,log Frequency,q
1,Lost tangent,s
1,loss factor,s
1,Stress,s
1,Storage modulus,s
1,Imaginary electric modulus,s
1,Fig_5_a_0.05_1Hz,Hz
1,Heat release Rate,s
1,complex viscosity,s
1,Normal Position,s
1,Number of MWNT within grip region dissolved in THF,um
1,Relative Imaginary Permittivity,g
1,natural log of conductivity,g
1,Imaginary,g
1,the product of epsilon and omega,s
1,Fig_5_b_0.025_1Hz,Hz
1,frequency,q
1,Fig_5_b_0.05_1Hz,Hz
1,weight fraction of PEG600,g
1,Relative permittivity (Real part),
1,Young's Modulus,s
1,19.64551973,1
1,dissipation factor,s
1,dielectric loss,s
1,Dielectric loss,s
1,MassLossRate,s
1,Elongation,g
1,surface area of filler phase,s
1,Dielctric Loss Factor,s
1,dielectric loss tangent,s
1,Diamine fraction,min
1,strain %,strain
1,imaginary part of dielectric function,g
1,loss tanget,s
1,"Dielectric constant, Dk",s
1,Tg/T,g
1,q,q
1,K,K
1,Volume Fraction of MWNT,um
1,the change in glass-transition temperature,s
1,3.178211933,1
1,Mass Loss Rate,s
1,Viscosity,s
1,Imaginary Permittivity,g
1,dielectric tangent,g
1,crystallinity weight fraction,s
1,Real part of dielectric constant,s
1,Heat Release Rate,s
1,real part of the dielectric constant,s
1,Cp,C
1,Square root of Electric Field,q
1,real part of dielectric constant,s
1,Normalized Position,s
1,Phase Angle,s
1,Loss Factor,s
1,Conductivity,C
1,effective permittivity of composites,s
1,Number of MWNT along the fracture for ARNT/PC,um
1,Fig_5_b_0.075_1Hz,Hz
1,Fig_5_a_0.025_1Hz,Hz
1,freq/Hz,Hz
1,relative density,s
1,Fig_8_b_0.0_real,g
1,Damping factor,Da
1,"Imaginary Dielectric constant epsilon""",s
1,normalized frequency,q
1,Dielectric Loss Factor,s
1,Percent change in AC Breakdown Strength,Percent
1,Dielectric constant,s
1,Dissipation Factor,s
1,Imaginary Susceptibility,s
1,Dissipation factor,s
1,fatigue crack growth rate,g
1,Real Susceptibility,s
1,Loss component,s
1,volume content of the samples,vol
0,"e""norm",
0,Y,
0,e',
0,Probability,
0,Temperature ï½©,
0,Temperature,
0,Tan d,
0,real part of permittivity,
0,É›Â´,
0,Tan Delta,
0,Real permittivity,
0,"G""",
0,Dielectric Permittivity,
0,real permittivity,
0,0.048442907,
0,4.745758446,
0,Real Permittivity,
0,the real part of dielectric permittivity,
0,Probability of Failure,
0,Heat flow,
0,,
0,dielectric permittivity,
0,Relative Permittivity,
0,tanÎ´,
0,Tan,
0,Sample,
0,"e""",
0,"E""/E""max",
0,G',
0,e' ,
0,Real Relative Permittivity,
0,Real dielectric function,
0,72.35636624,
0,p/p0,
0,Dielectric permittivity,
0,reduced conductivity,
0,0.056005402,
0,Tan Î´,
0,Permittivity,
0,Real component of permittivity,
0,f,
0,Real Permitivity,
0,T/T_alpha,
0,Tan delta,
0,Relative real permittivity,
0,Real part of Permittivity,
0,Heat Flow,
0,Dielectric Real Permittivity,
0,prob failure,
